paper_id,day,title,authors_short,keyword_hits,paper_page,pdf
3524,2026-06-07,Is Bin Generation Indispensable? A Bin-Generation-Free Dataset Quantization via Semantic Perspective,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Deng_Is_Bin_Generation_Indispensable_A_Bin-Generation-Free_Dataset_Quantization_via_Semantic_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Deng_Is_Bin_Generation_Indispensable_A_Bin-Generation-Free_Dataset_Quantization_via_Semantic_CVPR_2026_paper.pdf
3527,2026-06-07,See and Fix the Flaws: Enabling VLMs and Diffusion Models to Comprehend Visual Artifacts via Agentic Data Synthesis,"Jaehyun Park, Minyoung Ahn, Minkyu Kim et al.",diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Park_See_and_Fix_the_Flaws_Enabling_VLMs_and_Diffusion_Models_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Park_See_and_Fix_the_Flaws_Enabling_VLMs_and_Diffusion_Models_CVPR_2026_paper.pdf
3528,2026-06-07,DreamShot: Personalized Storyboard Synthesis with Video Diffusion Prior,"Junjia Huang, Binbin Yang, Pengxiang Yan et al.",diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Huang_DreamShot_Personalized_Storyboard_Synthesis_with_Video_Diffusion_Prior_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Huang_DreamShot_Personalized_Storyboard_Synthesis_with_Video_Diffusion_Prior_CVPR_2026_paper.pdf
3531,2026-06-07,SVBench: Evaluation of Video Generation Models on Social Reasoning,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Peng_SVBench_Evaluation_of_Video_Generation_Models_on_Social_Reasoning_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Peng_SVBench_Evaluation_of_Video_Generation_Models_on_Social_Reasoning_CVPR_2026_paper.pdf
3534,2026-06-07,DiT-Distill: Open-Set Fine-Grained Retrieval via Generative Curriculum Knowledge,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Jiang_DiT-Distill_Open-Set_Fine-Grained_Retrieval_via_Generative_Curriculum_Knowledge_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Jiang_DiT-Distill_Open-Set_Fine-Grained_Retrieval_via_Generative_Curriculum_Knowledge_CVPR_2026_paper.pdf
3535,2026-06-07,Mixture-of-Experts based Feature Decoupling for Open Vocabulary Scene Graph Generation,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Li_Mixture-of-Experts_based_Feature_Decoupling_for_Open_Vocabulary_Scene_Graph_Generation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Mixture-of-Experts_based_Feature_Decoupling_for_Open_Vocabulary_Scene_Graph_Generation_CVPR_2026_paper.pdf
3539,2026-06-07,Hear What Matters! Text-conditioned Selective Video-to-Audio Generation,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Lee_Hear_What_Matters_Text-conditioned_Selective_Video-to-Audio_Generation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Lee_Hear_What_Matters_Text-conditioned_Selective_Video-to-Audio_Generation_CVPR_2026_paper.pdf
3542,2026-06-07,DiverseDiT: Towards Diverse Representation Learning in Diffusion Transformers,"Mengping Yang, Zhiyu Tan, Binglei Li et al.",diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Yang_DiverseDiT_Towards_Diverse_Representation_Learning_in_Diffusion_Transformers_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_DiverseDiT_Towards_Diverse_Representation_Learning_in_Diffusion_Transformers_CVPR_2026_paper.pdf
3543,2026-06-07,SCIEval: Evaluating and Benchmarking the Faithfulness of Scientific Image Generation and Interpretation with Large Multimodal Models,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Ye_SCIEval_Evaluating_and_Benchmarking_the_Faithfulness_of_Scientific_Image_Generation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Ye_SCIEval_Evaluating_and_Benchmarking_the_Faithfulness_of_Scientific_Image_Generation_CVPR_2026_paper.pdf
3544,2026-06-07,SemLayer: Semantic-aware Generative Segmentation and Layer Construction for Abstract Icons,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Xu_SemLayer_Semantic-aware_Generative_Segmentation_and_Layer_Construction_for_Abstract_Icons_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_SemLayer_Semantic-aware_Generative_Segmentation_and_Layer_Construction_for_Abstract_Icons_CVPR_2026_paper.pdf
